Feature ID,Comp Type,Sub Theme,Feature Name,Male,Female,Disabled,Unisex,Babychange,Co-ordinates
CPF000089,PROPERTY,Brick Public Toilet,Public Toilet - Kings Domain South (off Birdwood Avenue),Y,Y,Y,N,N,"(-37.8308574870999, 144.975169412928)"
CPF000278,PROPERTY,Cast Iron Public Toilet,Public Toilet - Queensberry Street (Adjacent 179 Queensberry Street),Y,N,N,N,N,"(-37.8046418038556, 144.962850161271)"
CPF000277,PROPERTY,Cast Iron Public Toilet,Public Toilet - Canning Street Reserve (49 Princes Street),Y,N,N,N,N,"(-37.7930116784933, 144.973994897199)"
CPF000301,PROPERTY,Exeloo,Public Toilet - Lonsdale Street (Opposite 424 Lonsdale Street),Y,Y,Y,N,N,"(-37.8129330996861, 144.960012146372)"
CPF000321,PROPERTY,Exeloo,Public Toilet - Lonsdale Street (Opposite 88 Lonsdale Street),Y,Y,Y,N,N,"(-37.8100356799286, 144.969902463305)"
CPF000290,PROPERTY,Cast Iron Public Toilet,Public Toilet - Queensberry Street (Opposite 530 Queensberry Street),Y,N,N,N,N,"(-37.8030778663021, 144.949865179715)"
CPF000300,PROPERTY,Exeloo,Public Toilet - Franklin Street (Opposite 80 Franklin Street),Y,Y,Y,N,N,"(-37.8082354509674, 144.96018982974)"
CPF000374,PART,Underground Public Toilet,Public Toilet - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),Y,N,N,N,N,"(-37.813439207709, 144.962922725889)"
CPF000299,PART,Underground Public Toilet,Public Toilet - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),N,Y,N,N,N,"(-37.8138377923966, 144.96309720995)"
CPF000092,PART,Brick Public Toilet,Public Toilet - Kings Domain Myer Music Bowl Rear of,Y,Y,Y,Y,Y,"(-37.8228915983634, 144.97528095734)"
CPF000018,PROPERTY,Cast Iron Public Toilet,Public Toilet - Carlton Gardens South (Opposite 39 Rathdowne Street),Y,Y,Y,Y,N,"(-37.8062589327935, 144.969202702206)"
CPF000039,PROPERTY,Cast Iron Public Toilet,Public Toilet - Fitzroy Gardens Toilets (150 Clarendon Street),Y,Y,Y,Y,N,"(-37.8120320552532, 144.983079680547)"
CPF000298,POINT-BUILDING,Underground Public Toilet,Public Toilet - Town Hall Melbourne (200 Collins Street),Y,Y,Y,N,Y,"(-37.815215766427, 144.966943285381)"
CPF000314,POINT-BUILDING,Part of Building Public Toilet,Public Toilet - Queen Victoria Market (Food Court - 65-81 Victoria Street),Y,Y,N,N,N,"(-37.8063796185201, 144.959057791602)"
