Description,Co-ordinates
Drinking Fountain - Treated Timber Drinking Fountain - Parkville Gardens (PARKVILLE),"(-37.7795533220187, 144.939846538515)"
Drinking fountain - unspecified type - Gardiner Reserve,"(-37.7989933421049, 144.943359524639)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"(-37.8382179457731, 144.984564016458)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8199269383232, 144.94314585668)"
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.8083189238676, 144.974452452119)"
Drinking fountain - Historic or Heritage Drinking Fountains - Princes Park,"(-37.7799031684291, 144.961038945532)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.7771369785182, 144.951507394579)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8174375320117, 144.964745011938)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.7886679717956, 144.962461738758)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8175239427856, 144.960130375556)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8143731739698, 144.966132335897)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8189392634782, 144.94348692913)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8173491628441, 144.987796479912)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8138599395784, 144.964728539214)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.7846882561589, 144.960393739186)"
Drinking Fountain - Wooden Slat Supports,"(-37.7860671446287, 144.963069935133)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Park,"(-37.8276019583895, 144.981946960227)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.7786294524584, 144.961695691407)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.81450477697, 144.977702378095)"
Drinking Fountain - Duke & Duchess of York Memorial Drinking Fountain,"(-37.806631907877, 144.959913344404)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.8193525766697, 144.964414082383)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8160039301753, 144.965135403542)"
Drinking Fountain - Treated Timber Drinking Fountain - Shrine Gardens,"(-37.8308155512498, 144.974275123053)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7771248907494, 144.951506706432)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.815397268276, 144.940561984294)"
Drinking Fountain - Furniture Style,"(-37.8123200795591, 144.988916966643)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7819712878515, 144.956068444814)"
Drinking fountain - unspecified type - University Square,"(-37.801486298576, 144.960216218411)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Victoria Green,"(-37.8202756279903, 144.944845229573)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.8024172855381, 144.972022903167)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.8424923204702, 144.984396178064)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8163108962497, 144.967041099344)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8110492083965, 144.967151357786)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.815543937634, 144.958355407546)"
Drinking fountain - Historic or Heritage Drinking Fountains - Boyd Community Hub (SOUTHBANK),"(-37.8255335607019, 144.960998006489)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8062698327552, 144.95806339729)"
Drinking Fountain - Treated Timber Drinking Fountain - Queen Victoria Gardens,"(-37.8224930810626, 144.971144015376)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7973538076263, 144.952843680622)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8233760949565, 144.979851703209)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8123782161347, 144.965212921338)"
Drinking Fountain - Treated Timber Drinking Fountain - Miles & Dodds Street Reserve,"(-37.8286739865914, 144.96722649718)"
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.7977518532797, 144.96744736483)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81378184057, 144.942258642823)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.7943143856463, 144.930295918047)"
